圏,巻,,圏外、首都圏
囚,,,囚人、幽囚
嚇,赫、赤,,嚇怒、威嚇
噴,賁,水を噴き出し,噴火、噴水、噴射
嘲,朝,嘲り笑う,嘲笑、自嘲
埼,奇,,埼玉県
埋,里,土に埋める、埋もれ木,埋葬、埋蔵
坪,平,一坪、建坪,
坊,方,,宿坊、坊主、坊ちゃん、朝寝坊
坑,亢,,坑道、炭坑
堪,甚,聞くに堪えない,堪忍、堪能
堀,屈,内堀、掘り出す,
培,咅,体力を培う,培養、栽培
堆,隹,,堆積、堆肥
執,幸、丸,指揮を執る,執行、執筆、執着、固執
塔,荅,,鉄塔、管制塔
堤,是,川堤,堤防、防波堤
塚,豕,塚穴、貝塚,
堕,,,
堅,臤,堅気、堅物,堅牢、堅実
塑,朔,,塑像、可塑性
塞,,耳を塞ぐ,要塞、閉塞感
塊,鬼,土の塊,金塊
塁,,,塁壁、満塁
塀,并,,板塀、ブロック塀
墜,隊,,墜落、撃墜、失墜
墨,黒、土,墨絵,墨汁、水墨画
塾,孰、享、丸,,学習塾、塾学
塗,余,ペンキを塗る,塗装、塗布
塡,,,充塡、補塡
壇,,,壇上、教壇、仏壇、文壇、土壇場
壌,㐮,,土壌
墾,,,墾田、開墾
壊,懐,物が壊れる,壊滅、破壊
墳,賁,,古墳、墳墓
奈,,,奈落、奈良県
奇,,,奇妙、奇行、奇才
壱,,,壱万円
壮,,,勇壮、壮大、壮観
壁,辟,壁紙,壁画、岸壁
奨,将,,奨学金、奨励
奥,,奥地、奥歯,奥義
契,,契りを交わす,契約、契機
奔,,,奔走、奔流、自由奔放
奉,,奉行,奉仕、奉納
妄,亡、女,,妄想、妄言、妄断
妃,,,王妃、皇太子妃
如,,,欠如、突如、如実、如意棒
奴,,,奴隷、農奴、守銭奴
奪,,金品を奪う,奪還、強奪
妖,夭,妖しい挙動,妖怪、妖精、妖艶
妙,,,巧妙、妙案、奇妙、妙齢
妨,方,成長を妨げる,妨害
妊,,,妊娠、懐妊
妥,,,妥当、妥協
娯,呉,,娯楽
姻,因,,婚姻、姻戚
威,,,威圧、威嚇、威厳、威力
妬,,美人を妬む,嫉妬
姓,生,,姓名、同姓同名、百姓
婆,波,,
婚,昏,,婚約、結婚
娘,良,村娘、愛娘,
姫,,,姫君、歌姫、姫鏡台
娠,辰,,妊娠
嫌,兼,嫌がる、嫌いな食べ物,嫌悪、機嫌
嫁,家,娘が嫁ぐ、花嫁,転嫁
媒,某,,媒酌、媒介、媒体
婿,胥,婿養子、花婿,女婿
媛,,,媛
孤,瓜,,孤児、孤独、孤立
孔,,,鼻孔、気孔
嬢,㐮,,令嬢、受付嬢
嫡,啇,,嫡出、嫡子
嫉,疾,,嫉妬、嫉視
宵,肖,宵闇、今宵,春宵
宰,辛,,主宰、宰領
宴,,,宴会、宴席
宜,且,,便宜、適宜
宛,,宛名、宛先,
寧,,,寧日、安寧、丁寧
寡,,,寡黙、多寡
寝,侵,早寝、子供を寝かす,寝具、寝室
寛,,,寛大、寛容
寂,叔、尗,寂寞、寂しい夜、寂れた町,静寂
尉,,,大尉、尉官
封,圭,封建,封鎖、密封
寿,,寿退社,長寿、寿命
寮,尞,,学生寮、寮母、図書寮
審,番,,審議、審査、控訴審、球審
尿,,,尿意、尿道
尽,,愛想を尽かす、力を尽くす,尽力、一網打尽
尼,,尼寺,尼僧
尻,,,尻拭い、目尻
尋,,道を尋ねる,尋問、尋常
岐,,,岐路、分岐、多岐
屯,,,屯田兵、駐屯
履,復,靴を履く,履歴、履修
屈,,,屈折、屈伸、屈服
尾,毛,犬の尾,尾翼、尾行、首尾
峠,,,
峡,夹,,海峡、峡谷
岬,甲,宗谷岬,
岳,丘、山,御岳,山岳
岡,,岡山県、福岡県、静岡県,
崩,朋,形が崩れる,崩壊、崩落
崇,宗、示,,崇高、崇拝
崎,奇,長崎県、宮崎県,
崖,圭,崖下,断崖絶壁
峰,丰,峰打ち,高峰、霊峰
帥,𠂤、巾,,総帥、元帥
帆,巾、凡,帆を張る,帆船
巾,,,雑巾、布巾、頭巾
巧,工、丂,巧みな技,巧妙、精巧、技巧
嵐,風,山嵐,
幻,,幻の食材,幻影、幻覚
幣,敝,,幣物、紙幣、造幣局
帽,冒,,帽子、脱帽
幅,畐,横幅,幅員、振幅
帝,,,帝王、皇帝
庸,,,凡庸、登庸
庶,,,庶務、庶民
床,,床下、床の間,起床、病床
幾,,幾重、幾度,幾何学
幽,,,幽玄、幽閉、幽霊
弄,,ペンを弄ぶ,愚弄、翻弄
廷,,,法廷、宮廷
廉,兼,,廉価、清廉
廊,郎,,廊下、回廊、画廊
廃,,流行が廃れる,廃棄、廃止
弥,,,弥生時代
弦,玄,弓の弦,弦楽器、上弦
弔,,死者を弔う,弔辞、弔問
弍,,,弍万円
弊,弊,,疲弊、弊害、弊社
彩,采,食卓を彩る,色彩、迷彩、異彩
彙,果,,語彙
粛,,,静粛、自粛、粛清
弾,単,,弾丸
弧,瓜,,括弧、弧状、円弧
彼,皮,彼氏、彼女,彼岸
征,正,,征服、征伐、遠征
影,景,影絵、人影,陰影、影響
彰,章,,表彰
彫,周,彫る,彫刻、彫像
徹,育、攵,,徹底、徹夜、冷徹
微,,,微量、微妙、微生物
循,盾,,循環
御,卸,御社,制御、御前、御足労
徐,余,,徐行
苛,可,,
芳,方,芳しい香り,芳醇、芳香
芯,心,,鉛筆の芯
芝,之,,芝生、芝居
芋,于,芋羊羹、焼き芋,
荒,巟,荒療治、海が荒れる,荒廃、荒野
茨,次,茨城県,
茂,,雑草が茂る,茂生
苗,田,苗代、苗木,種苗
茎,圣,歯茎,球茎、花茎
菊,米,,
菓,果,,菓子、製菓
萎,委,花が萎える,萎縮
華,,華やか,万華鏡、華氏、華族
荘,壮,,荘厳、別荘、山荘
蓄,畜,財産を蓄える,蓄積、貯蓄
蓋,去、皿,火蓋を切る,頭蓋骨
葬,死、廾,死者を葬る,葬式、埋葬
葛,曷,葛粉、葛切り,葛藤
菌,禾,,菌糸、雑菌、細菌
薦,廌,読書を薦める,推薦
薪,新,薪をくべる,薪炭
薫,重,文化の薫り,薫香、薫製
蔽,敝,,隠蔽、遮蔽
蔑,戍,蔑んだ視線,蔑視、軽蔑
藻,喿,藻屑,海藻
藍,監,藍染,出藍
藩,番,,藩士、藩主
藤,滕,藤色,葛藤
薄,,薄着、味が薄い,薄情
迭,失,,更迭
迎,卬,新年を迎える,迎春、歓迎
迅,卂,,迅速、奮迅
巡,,町を巡る,巡回、巡査
込,入,人が込み合う、心をこめる,
逓,乕,,逓信、逓減
逐,豕,,逐一、駆逐
逝,折,あの世へ逝く,逝去、急逝
逃,兆,敵から逃げる、敵を見逃す,逃亡、逃避
迫,白,目前に迫る,迫力、圧迫、迫害
遇,禺,,遭遇、待遇、境遇
逮,隶,,逮捕
逸,免,,逸脱、逸材、逸話
透,秀,紙を透かす、透けて目える,透明、透過
途,余,,途中、発展途上
遣,,金遣い、人を遣わす,遣唐使、派遣
違,韋,間違える、話が食い違う,違法、相違
遍,扁,,遍歴、普遍、一遍
遅,,待ち合うわせに遅れる、足が遅い,遅刻
遂,㒸,,
遵,尊,,遵守、遵法
遭,曹,被害に遭う,遭難、遭遇
